TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,RA (deg),Dec (deg),Mookodi Comp,SHOC Comp,Num Transits,Transit Times
73433128,2990.01,,3,4,3,3,3,4,4,23.2,30.2,317.0,0,2,1,PC,PC,12.023,0.006,,1,qlp-s36-tois,FAINT,10:18:50.72,-41:11:38.42,-3.781,0.036,1.007,0.041,2459298.339468,0.0029621,7.4659746,4.92e-05,2.396,0.386,3.883014,0.420133,3570.0,386.882,15.9063,4.27322,553.011,1350.0,14.0,763.643,15.671,6439.0,125.7,3.97,0.09,1.95,0.09,,,1.3,0.210938,"9,36",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,154.71133333333336,-41.19400555555555,5,0,1,['2025-02-17T18:58:36.474' '2025-02-17T21:22:22.074']
48768158,2993.01,,3,4,3,3,1,4,4,19.7,60.5,66.01,0,0,0,PC,PC,13.5586,0.019,,1,qlp-s09-faintsearch,FAINT,10:48:54.44,-32:25:11.83,6.242,2.216,-18.661,2.216,2458564.219716,0.0035342,2.3378096,0.0007971,2.307,0.308,7.49568,0.013242,6880.0,12.1962,,,,,15.0,608.631,,,,,,,,,,,,9,2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,162.22683333333336,-32.41995277777777,19,0,1,['2025-02-17T19:23:07.345' '2025-02-17T21:41:32.545']
35855047,2996.01,,3,4,3,3,3,4,4,10.2,50.2,23.47,0,0,1,PC,PC,11.6828,0.006,,1,qlp-s36-tois,FAINT,09:56:19.17,-46:37:28.31,-18.884,0.039,-20.707,0.038,2459300.796358,0.0030566,2.3627442,1.55e-05,3.095,0.495,2.032227,0.003004,1870.0,2.76657,5.15542,0.326982,1735.39,1798.0,16.0,354.772,3.1075,5939.0,131.2,4.32,0.08,1.18,0.06,,,1.08,0.139426,"9,36",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,149.079875,-46.62453055555556,7,0,1,['2025-02-18T23:11:56.956' '2025-02-19T02:17:38.956']
34737413,2998.01,,3,4,3,3,3,4,4,14.2,41.8,70.86,0,0,1,PC,PC,12.5382,0.006,,1,qlp-s36-tois,FAINT,09:48:41.9,-46:04:50.07,-7.857,0.051,5.478,0.047,2459303.240519,0.0052206,1.5297119,1.46e-05,2.297,0.429,2.619782,0.006577,2410.0,6.05794,9.91839,0.763196,3456.41,2136.0,13.0,1019.27,33.476,6683.0,126.4,3.96,0.09,2.05,0.11,,,1.41,0.243847,"9,36",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,147.17458333333337,-46.080575,59,1,3,"['2025-02-17T19:04:49.722' '2025-02-17T21:22:38.922'
 '2025-02-20T20:30:23.939' '2025-02-20T22:48:13.139'
 '2025-02-23T21:55:58.155' '2025-02-24T00:13:47.355']"
384034837,3007.01,,3,4,3,3,1,4,4,14.5,35.3,98.86,0,0,0,PC,PC,13.1623,0.006,,1,qlp-s37-tois,FAINT,09:02:33.57,-56:00:46.08,2.757,0.033,1.823,0.033,2459331.090728,0.0043374,4.2768515,3.97e-05,4.586,0.536,5.442298,0.006315,5000.0,5.81623,12.027,,860.304,1508.0,18.0,888.503,13.413,5691.0,122.0,3.96,,1.73,,,,1.01,,"8,9,10,35,36,37",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,135.63987500000002,-56.0128,149,14,1,['2025-02-18T17:58:14.189' '2025-02-18T22:33:23.789']
437560683,3012.01,,3,4,3,3,1,4,4,178.8,638.1,317.0,0,0,0,PC,PC,13.7563,0.006,,1,spoc-s01-s65-b0A-PC,QLP,09:25:39.99,-54:50:28.45,,,,,2459991.459725,0.0014097437,3.09202974890872,0.00015309386,4.02676389479929,0.093075484,71.221212,1.561527,63491.9490892581,1437.1854,,,579.025657369243,1251.10627302255,42.628235,1423.27,,5804.0,285.2,,,,,,,,,"9,10,62,63",2021-06-04,2024-01-16,2024-01-27 12:11:53,found in faint-star QLP search,141.41662499999998,-54.84123611111112,102,14,2,"['2025-02-20T18:41:38.198' '2025-02-20T22:43:14.548'
 '2025-02-23T20:54:09.568' '2025-02-24T00:55:45.918']"
383806208,3014.01,,3,4,3,3,1,4,4,10.6,33.5,56.74,0,0,0,PC,PC,13.2576,0.006,,1,qlp-s37-tois,FAINT,09:00:57.25,-56:33:24.95,-4.014,0.03,11.826,0.025,2459330.933872,0.0054312,1.7946783,1.63e-05,3.306,0.71,3.109654,0.008277,2860.0,7.6233,8.71041,,4554.66,2288.0,14.0,1023.59,15.075,6351.0,122.0,4.09,,1.68,,,,1.26,,"8,9,10,35,36,37",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,135.23854166666666,-56.55693055555555,128,11,1,['2025-02-18T19:55:15.119' '2025-02-18T23:13:36.719']
357801293,3015.01,,3,4,3,3,1,4,4,9.5,29.1,81.18,0,0,0,PC,PC,13.2438,0.006,,1,qlp-s37-tois,FAINT,09:12:01.65,-61:27:49.01,-10.857,0.033,7.596,0.028,2460015.034186,0.005606545,4.2745762,3.18e-05,4.288,0.393,3.937496,0.006453,3620.0,5.94339,10.7453,,1157.67,1625.0,13.0,1146.27,21.26,6375.0,122.0,4.04,,1.79,,,,1.27,,"9,10,36,37,62,63",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,138.00687499999998,-61.463613888888894,100,9,1,['2025-02-13T17:59:53.578' '2025-02-13T22:17:10.378']
452464529,3025.01,,3,4,3,3,1,4,4,15.2,41.0,90.16,0,0,0,PC,PC,13.4826,0.006,,1,qlp-s39-tois,FAINT,09:16:10.78,-76:30:20.93,0.666,0.026,6.51,0.028,2460044.692878,0.0018043978,3.6794732,1.42e-05,4.13,0.224,6.927335,0.002846,6360.0,2.62168,11.3997,,933.522,1539.0,27.0,888.822,10.9035,5823.0,122.0,4.15,,1.42,,,,1.05,,"10,11,12,37,39,64,65,66",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,139.0449166666667,-76.5058138888889,33,2,1,['2025-02-18T19:25:30.288' '2025-02-18T23:33:18.288']
282091492,3027.01,,3,4,3,3,3,4,4,16.4,47.9,73.16,0,0,1,PC,PC,12.2231,0.006,,1,qlp-s39-tois,FAINT,09:01:12.1,-75:05:17.22,-6.351,0.045,15.644,0.047,2459384.399471,0.0015759,3.3794034,1.07e-05,3.332,0.229,3.926599,0.001475,3610.0,1.35892,10.0889,0.540325,934.748,1540.0,30.0,652.69,10.298,6072.0,137.4,4.04,0.08,1.67,0.08,,,1.13,0.152593,"10,11,12,37,39",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,135.30041666666668,-75.08811666666666,40,3,1,['2025-02-22T19:58:57.291' '2025-02-22T23:18:52.491']
