TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,RA (deg),Dec (deg),Mookodi Comp,SHOC Comp
425817867,6681.01,,5,5,5,5,5,5,5,71.3,201.5,124.91,0,0,0,KP,KP,12.0491,0.006,,1,spoc-s67-b02,SPOC,20:23:29.38,-44:03:31.32,-40.976,0.061,-52.291,0.041,2460129.98959,0.00044793202,3.77834011974399,0.00013953586,2.8296299895596,0.035698865,27.023544,0.239253,24582.4117133995,220.33632,13.8305376994249,0.7528685,269.165729943408,1033.0579656546,117.05939,274.96,3.0635,5443.0,125.717,4.54284,0.0835976,0.863921999931335,0.0462512,,,0.95,0.128189,67,2023-09-21,2023-09-21,2023-09-25 12:14:10,WASP-110 b,305.87241666666665,-44.058699999999995,19,1
254141733,6682.01,,3,4,3,3,3,4,4,13.5,75.1,27.16,0,0,2,PC,PC,11.3648,0.006,,1,spoc-s67-b02,SPOC,19:06:09.39,-40:36:48.28,8.613,2.432,9.472,3.082,2460127.201762,0.0035125173,4.24362397531,0.0011235831,3.88695426371578,0.25336373,2.863621,0.167092,2634.01688573976,153.88577,5.75848379497582,0.32224423,283.273639884257,1046.33629513884,12.097772,336.87,,5372.0,,4.438,,1.0,,,,,,67,2023-09-21,2023-09-21,2024-09-12 00:00:00,Visual binary; Gaia DR2 R*=3.28 Rsun so Rp~20 Re,286.539125,-40.61341111111111,19,2
269217040,6686.01,,5,5,5,5,5,5,5,111.0,128.0,317.0,0,0,0,KP,KP,10.2748,0.006,,1,spoc-s67-b02,SPOC/QLP,18:58:11.61,-47:00:11.91,1.443,0.107,-15.58,0.099,2460128.917227,0.0002927956,4.16612652830454,8.6389395e-05,3.70003265646615,0.021406442,16.896032,0.083842,15441.360657576,77.218185,14.5365629131681,0.6942914,533.342762933646,1225.66377679337,178.48795,188.404,2.157,5883.0,133.8,4.34,0.08,1.15599000453949,0.0548743,,,1.07,0.137072,67,2023-09-21,2023-09-21,2023-09-25 12:14:10,KELT-10 b,284.54837499999996,-47.00330833333334,9,1
324609409,6692.01,TIC 324609409.01,3,4,3,3,1,4,4,,,53.14,0,0,0,PC,PC,11.1163,0.006,,1,spoc-CTOIs,CTOI,20:50:46.57,-81:16:20.63,38.861,0.037,-22.583,0.036,2459378.417556,0.004675533,0.0,0.0,10.7778243853155,0.38544405,3.568341,0.195706,3281.16855612522,180.2357,8.36557818809519,0.51143265,182.35330642576,937.234269880992,21.958086,312.903,2.416,6047.0,124.546,4.21587,0.0777621,1.36680996417999,0.0608467,,,1.12,0.151447,"39,66,67",2023-10-05,2024-03-27,2024-03-28 00:00:00,single transit; CTOI from Planet Hunters,312.69404166666664,-81.27239722222222,11,2
118339710,6695.01,TIC 118339710.01,3,4,3,3,1,4,4,,,45.51,0,6,0,PC,PC,10.3541,0.006,,1,spoc-CTOIs,CTOI,08:38:17.29,-23:33:00.78,-3.804,0.06,2.847,0.053,2459249.547139,0.0028590914,0.0,0.0,8.66688493150103,0.29856193,2.516875,0.113871,2315.44243579747,104.87388,7.63746900875853,0.6044327,85.9385351061332,776.545193951734,22.675947,282.536,3.5435,6118.81,115.289,4.11275,0.080883,1.56228995323181,0.0697462,0.0563154,0.0617927,1.154,0.158863,"34,35",2023-10-05,2023-10-05,2023-10-19 12:10:53,single transit; possible additional transit at 1525.64811 TBJD; CTOI from Rafael Brahm,129.57204166666665,-23.550216666666667,4,1
92449173,6719.01,,5,5,5,5,5,5,5,45.7,94.8,130.4,0,0,0,KP,KP,12.2247,0.006,,1,spoc-s68-b02,SPOC,20:58:18.11,-35:47:47.84,12.088,0.074,-8.249,0.048,2460155.27651,0.001097848,2.1764874697474,0.0001625426,3.44037228060598,0.0828076,8.846346,0.242487,8114.68295564768,223.31345,14.1848390478611,0.91223466,2054.7956073402,1717.16452080919,24.540974,559.084,16.4895,5646.0,132.236,4.05052,0.0824235,1.5623300075531,0.0886432,,,1.0,0.125278,68,2023-10-18,2023-10-18,2023-10-27 12:02:44,WASP-133 b,314.5754583333333,-35.79662222222222,12,3
281541545,6720.01,,5,5,5,5,5,5,5,15.7,54.1,56.01,0,0,0,CP,KP,13.7813,0.006,,1,spoc-s68-b02,SPOC,00:26:27.26,-56:20:39.41,42.581,0.035,8.264,0.03,2460158.117981,0.0025197135,4.1470359233501,0.0010062003,2.31976943381038,0.23871939,14.082808,0.949368,12886.9879910065,874.01807,8.62854044722535,1.2575701,90.5320646690939,786.720298651733,10.971245,324.413,2.37,4247.0,122.0,4.47839,,0.775547981262207,,,,0.66,,68,2023-10-18,2023-10-18,2023-10-27 12:02:47,HATS-49 b,6.613583333333334,-56.34428055555556,9,2
324150445,6736.01,,3,4,3,3,3,4,4,28.7,82.5,94.0,0,0,2,PC,PC,13.3991,0.006,,1,qlp-s66-faintsearch,FAINT,18:22:36.94,-41:28:35.19,-7.742,0.055,-2.424,0.048,2460121.987455,0.0029152,2.9879341,0.0007201,2.501,0.257,15.404618,1.069472,14088.0,984.535,11.6667,,346.683,1202.0,18.0,531.546,9.291,5315.0,122.0,4.43,,0.96,,,,0.92,,66,2023-11-02,2024-08-22,2024-09-12 00:00:00,found in faint-star QLP search,275.65391666666665,-41.476441666666666,95,13
171886633,6737.01,,3,4,3,3,1,4,4,38.5,48.1,317.0,0,0,0,PC,PC,13.0057,0.006,,1,qlp-s66-faintsearch,FAINT,17:01:50.08,-56:48:57.25,-2.976,0.032,-9.909,0.029,2460119.938915,0.0018414,2.8475582,5.7e-06,2.979,0.625,14.178518,1.112103,12974.0,1023.76,16.2689,,1724.51,1795.0,24.0,813.685,15.3755,6372.0,122.0,4.28,,1.36,,,,1.27,,"12,39,66",2023-11-02,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,255.45866666666663,-56.81590277777777,38,5
89417257,6738.01,,3,4,3,3,3,4,4,11.7,35.8,61.7,0,0,2,PC,PC,12.0409,0.006,,1,qlp-s66-faintsearch,FAINT,18:21:07.15,-45:28:11.46,-6.827,0.079,-11.533,0.07,2460122.480944,0.0053771,3.6234424,2.52e-05,4.383,0.919,3.623713,0.206062,3332.0,189.772,9.13018,0.712416,1323.23,1680.0,19.0,684.777,20.254,5815.0,130.7,3.88,0.08,1.95,0.11,,,1.05,0.130073,"13,66",2023-11-02,2024-08-22,2024-09-12 00:00:00,found in faint-star QLP search,275.2797916666667,-45.46985,47,4
174070181,6740.01,,3,4,3,3,3,4,4,17.9,47.5,90.56,0,0,2,PC,PC,13.3912,0.006,,1,qlp-s66-faintsearch,FAINT,17:13:38.53,-55:43:45.86,0.305,0.075,-8.846,0.069,2460121.946449,0.0045015,3.3505941,1.5e-05,3.542,0.452,9.786283,0.543291,8973.0,500.264,11.4279,,723.955,1445.0,15.0,778.277,33.3,5579.0,122.0,4.17,,1.35,,,,0.98,,"12,39,66",2023-11-02,2024-08-22,2024-09-12 00:00:00,found in faint-star QLP search,258.41054166666663,-55.72940555555556,65,5
263203229,6741.01,,3,4,3,3,1,4,4,15.5,51.0,105.06,0,0,0,PC,PC,12.792,0.006,,1,qlp-s66-faintsearch,FAINT,15:21:38.98,-67:12:23.57,-0.928,0.016,-7.491,0.024,2460117.886705,0.0034494,5.0061978,2.19e-05,3.521,1.079,7.012567,0.635658,6438.0,585.291,12.4847,0.864156,1188.71,1635.0,17.0,901.517,12.7955,6713.0,136.4,4.21,0.09,1.55,0.07,,,1.43,0.240195,"12,38,39,65,66",2023-11-02,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,230.41241666666664,-67.20654722222223,45,5
307232923,6742.01,,3,4,3,3,1,4,4,7.0,23.2,81.63,0,0,0,PC,PC,13.2152,0.006,,1,qlp-s66-faintsearch,FAINT,17:50:55.44,-61:36:51.82,1.011,0.022,-2.512,0.022,2460116.805629,0.0074717,8.1678648,5.81e-05,4.797,0.84,4.457398,0.324685,4097.0,299.001,10.7664,,297.977,1157.0,10.0,1038.26,24.93,5859.0,122.0,3.98,,1.74,,,,1.06,,"12,13,39,66",2023-11-02,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,267.731,-61.61439444444444,36,5
343717397,6747.01,,3,4,3,3,1,4,4,15.8,59.8,26.14,0,0,0,PC,PC,12.2566,0.006,,1,qlp-s66-faintsearch,FAINT,18:12:07.04,-72:52:38.45,10.624,0.03,-8.911,0.04,2460124.204944,0.0018753,0.7025922,1.2e-06,0.733,0.204,1.890826,0.273025,1740.0,251.434,5.49838,0.503029,1003.46,1567.0,9.0,476.693,5.122,5875.0,130.0,4.27,0.08,1.24,0.06,,,1.06,0.132362,"12,13,39,66",2023-11-02,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,273.0293333333333,-72.87734722222221,25,4
426901646,6749.01,,3,4,3,3,1,4,4,10.3,43.1,99.46,0,0,0,PC,PC,12.0574,0.006,,1,qlp-s66-faintsearch,FAINT,15:47:34.07,-67:30:23.93,-1.84,0.03,-3.377,0.04,2460111.87343,0.0034629,8.6121286,4.62e-05,4.155,0.371,5.19899,0.256783,4777.0,236.478,12.0872,0.644374,620.245,1390.0,15.0,1036.48,31.125,7929.0,140.5,4.16,0.08,1.89,0.08,,,1.9,0.293827,"12,39,65,66",2023-11-02,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,236.89195833333332,-67.50664722222223,72,8
