source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,phot_rp_mean_flux_over_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error
3152338701995746176,27.585889590587353,0.01998736,10.21727,1.6231356,1470.6254,2544.682,880.32184
1091831612072408320,27.589017907450934,0.018705163,8.231538,0.9651804,1020.81036,2586.6802,737.8426
2821003415585017984,27.590730755988826,0.021948442,14.252546,2.8994827,1369.8333,2339.0693,367.54565
3928040444539772800,27.591235484604734,0.022303626,6.9376464,0.8330045,3219.0928,7528.2705,3118.6667
5376655466632859008,27.592411095374466,0.013283819,13.167158,2.3258038,2001.404,2921.8547,1166.8645
6160934121425398912,27.592927268881784,0.061155383,16.130516,3.812254,533.9469,1258.9475,62.50529
360132118715651840,27.593050792773642,0.024298813,14.740105,2.616682,1147.6415,2500.5505,197.70052
4573601001523571072,27.594115972770503,0.017142111,12.882195,2.6993132,1825.9779,2325.19,946.8258
6848661189853590784,27.594319643901834,0.023328237,14.3645315,2.871972,931.2752,1543.5922,314.34335
4991747403868417792,27.594808478155528,0.021613883,7.8022475,0.81892395,2891.0444,5388.7983,3303.22
214941191652972416,27.595178239233473,0.02054702,11.871056,2.2189074,2429.2744,3300.1716,1455.0607
5482145429696983680,27.595498393035143,0.022653384,15.041388,3.2740202,999.0294,1746.9774,127.860596
4383450189305260288,27.59639509349939,0.019711101,13.044848,2.4769506,1989.6481,3021.3245,689.6122
3032020450247993600,27.596665727860515,0.12811232,17.75323,1.1162548,165.10762,933.48346,73.24373
1623747678000078464,27.598739935580706,0.019924346,14.634283,2.9436646,889.053,1290.653,310.04807
1074821411275476224,27.599605785011413,0.020219691,12.786621,2.443284,973.2953,1846.296,414.46838
4819784712998290688,27.600350526462407,0.014286757,12.965907,2.5553417,2113.503,2792.8074,854.4053
3883571517091026048,27.60188310782507,0.021130787,9.870178,1.4692202,1153.8839,2317.643,749.1253
3929039041615124608,27.602039074393815,0.05208768,16.0301,3.6224136,899.05286,1621.1349,96.496185
2529361632808443136,27.602224523618116,0.038747568,14.986972,3.168335,819.7317,1816.7192,240.9769
2074971100978405248,27.602815981834432,0.01134683,13.293354,2.775773,608.01337,1321.2766,290.88623
3966015201048573056,27.602954080899828,0.033777516,11.844313,2.2892618,641.7803,1381.1754,344.77563
3861752365967697664,27.603738314437503,0.025025062,8.742254,1.1020374,966.92773,2061.939,590.8111
2280076405190521472,27.60379567398483,0.012111654,8.728644,1.0516253,2093.6458,6551.567,2116.488
5943936602571492096,27.603874045400623,0.018357178,13.128509,2.7511091,850.91614,2655.9226,493.3244
3883570761176322048,27.604285522400943,0.02231174,11.788341,2.169508,1019.8055,1991.4797,608.5717
3005681889712375552,27.604338066494183,0.018603196,11.4998255,1.9720898,2280.2114,2379.7217,1211.8527
5287064510419675776,27.605998626352413,0.14654744,18.692423,4.663891,58.53925,447.80267,4.7927227
1883575229265906560,27.606055553863094,0.015592853,9.486114,1.4109812,3897.7598,6318.8447,2462.4678
2385628829965900928,27.607305101723252,0.2729925,18.925358,4.0223026,114.273895,290.62717,5.5645514
2101486923382009472,27.607874153583527,0.05453712,,,,,
3762987325253912960,27.609551808897354,0.041261215,15.402169,3.3340273,485.35315,987.9633,98.59131
5853300216982678400,27.611675770915713,0.01916445,7.120773,0.7426863,2803.748,8509.929,4031.6802
6780049396536681856,27.611677655960232,0.028835794,11.243792,2.0370264,2159.661,2646.1094,1134.4849
1271209615518148736,27.61248298183097,0.024452103,7.2243514,0.7714596,38.91114,1595.0042,42.26421
867704997203728896,27.612972863148453,0.02080202,13.782156,2.633584,1729.5652,2853.5317,613.1343
1271209611223823232,27.615019158502268,0.02173083,7.1797447,0.6473112,38.968224,2104.5654,35.958073
1422556635168141568,27.61527401257863,0.018807309,8.144549,0.9379153,741.2905,2645.8984,612.5393
5676497746426691200,27.61561062691658,0.01636192,13.085201,2.4941397,2554.2493,3755.777,1245.9886
759932688513470464,27.61787313434253,0.021481613,12.039693,2.2544746,1633.8458,2527.4143,701.92865
2978178254881466240,27.61870556064816,0.022868322,12.787212,2.5813055,1473.9724,2522.3462,821.4854
5293317123809167616,27.620080840721858,0.020686058,14.772722,3.0591345,781.0118,1812.914,166.33955
3214015325718595968,27.621759514965085,0.019271726,12.320836,2.277831,2260.712,4116.496,1254.3789
182271471376644224,27.621866312995056,0.025522549,11.291888,1.9944553,2052.3613,2395.438,776.05426
6917290163036288384,27.622023504037593,0.05671399,13.293445,2.7781305,966.968,1751.0393,257.4072
983979721933760768,27.622922661165948,0.13037498,17.939516,1.2996979,109.91178,1069.9354,55.208866
4472382946069723648,27.6240936917869,0.017766975,10.634225,1.768075,1615.3694,3811.8735,1308.9716
5222798605535328128,27.624703623932557,0.036377225,16.098473,3.606248,575.54504,1276.2108,79.64888
1676282377934772608,27.625346375217163,0.025326695,5.916535,0.56092596,516.9824,2965.8276,878.02924
4229488251830002560,27.62560380183451,0.032936,14.925066,3.1125174,1325.7238,1803.2499,206.05148
6212595980924278144,27.625724408761545,0.3492857,18.8508,3.9695168,106.005516,311.43137,4.3499103
1333878715994201344,27.626427785593933,0.0136424955,12.390134,2.500372,1450.4471,2601.3176,760.6036
1181076496996567936,27.627525600673938,0.017460221,13.097595,2.7722588,1106.618,1870.1222,414.3556
4772364631917514752,27.628157471539314,0.017955733,14.352131,2.959588,1062.2692,1755.7637,327.84
6417818928602089088,27.631470321434314,0.011417909,13.229971,2.4356575,2339.631,3475.498,772.7469
5469544167449156864,27.63221088485864,0.060479082,16.134504,3.8100863,577.4868,977.4763,38.024014
4282134728307651072,27.632737431855254,0.014299977,13.09755,2.4096088,1361.279,2375.721,740.8801
2670261054315910400,27.632756626968003,0.02229863,12.874691,2.3831062,2166.813,2359.975,660.78894
4652810059715790080,27.632765680717423,0.031108836,15.342166,3.3888988,686.11676,1337.8131,190.66676
