TIC_ID,TIC_ra,TIC_dec,TIC_pmra,TIC_pmdec,TIC_Tmag,TIC_contratio,CTL_flag,CST_flag,MovingGroup,NameInLocalFile,LocalFile
264345414,270.171818,-33.680592,0.0,0.0,12.405,0.0,False,False,GAIAPMS,b'4042455658953785344',pms_ZARI.dat
264427804,265.050986,-37.706198,-11.2349,-32.4793,12.376,0.0,False,False,GAIAPMS,b'5962349093026572800',pms_ZARI.dat
264454826,324.51203,81.32274,17.5079,13.1124,13.092,0.0,False,False,GAIAPMS,b'2297637907986673152',pms_ZARI.dat
264459471,81.226942,2.560744,0.0,0.0,14.86,0.0,False,False,GAIAPMS,b'3234356428270950528',pms_ZARI.dat
264461317,81.313226,0.506464,7.42997,-24.7352,12.359,0.0,False,False,GAIAPMS,b'3221837251438378624',pms_ZARI.dat
264462369,81.314648,2.151796,15.6184,21.7365,13.387,0.0,False,False,GAIAPMS,b'3222315916953294336',pms_ZARI.dat
264486320,81.586309,2.011181,2.71013,-2.4515,15.077,0.0,False,False,GAIAPMS,b'3222297775011424384',pms_ZARI.dat
264541460,81.705939,1.667234,1.23651,-0.183609,15.708,0.0,False,False,GAIAPMS,b'3222214379631179776',pms_ZARI.dat
264560908,264.940753,-36.243477,0.0,0.0,13.339,0.0,False,False,GAIAPMS,b'4041142051839517440',pms_ZARI.dat
264599508,109.4982,11.3013,-1.07,-45.72,12.868,0.04333356,True,False,GAIAPMS,b'3156962079670742528',pms_ZARI.dat
264622120,80.882992,2.178709,3.09252,3.18265,15.705,0.0,False,False,GAIAPMS,b'3234315535886633472',pms_ZARI.dat
