,source_id,ra,dec,parallax,pmra,pmdec,bp_rp,phot_g_mean_mag
110,1592855180831182720,227.2092001380478,51.662542767871614,9.557105648981697,-15.503485648214014,-2.3664124296761404,3.2862635,17.30905
114,1615219487858308480,231.92340366117577,59.9870392898494,9.1355373545678,-13.59617271773337,-0.33785296065719117,1.042409,10.8674965
119,1615031643168638848,230.09063891465038,59.97238909778453,8.949176324729494,-14.886025108490827,-3.284806247986902,2.708519,15.604085
122,1613315511675899648,227.49268046830235,58.04464670596595,9.318223388548356,-15.368004846405768,-1.1211668179184744,3.4090395,17.207584
127,1613195115152921088,226.55385793291202,57.479033806373955,9.447910444333628,-14.644479540969101,-1.9461970624556784,3.018138,16.714981
135,1612930712670148608,226.48223405347352,56.60386345397325,9.630011849232995,-14.735981298013751,-2.67511524166827,3.1369886,17.256893
136,1613253251830161920,226.0833920816509,57.778530428445634,9.429192772425669,-14.981982903338594,-2.424939373959636,2.3589754,14.540673
164,1614381144601686528,224.12327101032426,59.37990204233063,9.182670480282995,-13.060427521103882,-1.4371874964586517,0.49865723,8.149788
175,1605544850685882240,221.90528567995446,51.627924405368866,9.619888729127842,-14.812743703826156,-2.262039654889186,3.0073023,15.756602
177,1617050514019871488,222.22563745025275,59.3030138040917,9.038313224986583,-14.427996878489907,-1.295631739347944,3.747261,17.722334
181,1614285865047284608,223.93029965845977,58.611114558515595,9.622135404563483,-15.140874704992797,-2.148371978919753,2.8527489,16.201458
191,1613968552863278208,222.57463835117625,58.68911532255298,9.562393047932273,-14.455899580919823,-1.2354750654690643,1.6444178,12.612667
197,1593570584944324608,223.2700290030169,51.26115135741723,10.042685180198117,-14.602029521448504,-1.6219979950957106,0.8261204,9.8218975
202,1614444366520250624,225.88216896993876,59.57317519550785,9.941203475264647,-14.895711148551914,-2.943649080944734,2.9852123,15.637307
204,1617388377623238272,222.87593992236046,59.53207993274385,9.656599130256575,-15.217556382906125,-1.4919896278275822,1.237011,11.51769
216,1579253294281966336,197.86120742067604,60.205488434633544,12.637082602878682,-21.03872705123393,-7.33574739932784,2.8922148,15.545435
218,1563282372493360512,199.0116883209298,53.74403006667737,11.029197216121483,-18.86998616687077,-6.814707522577932,2.965106,16.200087
219,1566766484322815232,199.29318690345292,58.01911470518523,10.70794120980184,-18.152637777836148,-6.130067656144383,2.9155931,16.136408
221,1563776774768272768,200.73096302706924,55.00488339764128,11.343544354478212,-19.95110587857831,-5.442186314739719,3.0302553,15.745235
222,1562916406920238592,200.92469457877087,52.46246750481226,11.031989912907168,-19.462062883323842,-6.844331042132995,2.6430864,14.85942
226,1553722428127502848,201.14962554493295,50.91055703473158,10.647282750508632,-19.050100100757128,-6.785407131005369,2.9041138,16.175304
227,1563589892151844992,201.15094938831788,54.92717997511625,10.90460714240388,-19.19424423208003,-6.170496502179095,1.9079914,12.994538
228,1563586799775391104,201.21589434810159,54.89743202215939,10.965028891532455,-20.171272676056756,-5.330298920138407,0.39440918,7.526949
229,1562901563513294208,201.34013167835815,52.42242578807848,10.710013786732626,-18.341189917669737,-6.705280449693269,2.574255,14.8230715
230,1549717869340720000,201.5163772684528,44.15099650682634,11.095139071758739,-19.118463518387426,-7.368047384073762,2.7340202,15.160136
231,1665685353585859456,202.09358345609877,64.11105288279768,10.044421332366598,-16.952572419038642,-5.433922628544789,3.336443,17.525633
232,1560422504094135552,203.23893232908077,53.680400869798056,10.633136461697017,-18.432262102060086,-5.94780520667353,3.4064503,17.677258
