     twomass      |  lspmname   | tic |   kic    |        catra         |        catdec        | spectype |     r_spectype      |  jmag  |  hmag  |  kmag  |  vmag  |   v    |  e_v  |       bibcode       |   prot   | g_prot |       r_prot        
 13193356+3506373 | J1319+3506W |     |          |             3.488738 |             0.612789 | M1.0     | 2013AJ....145..102L |  6.383 |  5.788 |   5.56 |   9.52 |   9.52 |       | 1996AJ....112.2300W |          |        | 
 13193466+3506258 | J1319+3506E |     |          |             3.488818 |             0.612733 | M3.0     | 2013AJ....145..102L |  8.287 |  7.742 |  7.518 |  12.12 |  12.12 |       | 1996AJ....112.2300W |          |        | 
 13205797+3416446 | J1320+3416  |     |          |             3.494879 |             0.598281 | M1.5     | 2013AJ....145..102L |  7.398 |  6.793 |  6.555 |  10.63 |  10.63 |       | 1996AJ....112.2300W |          |        | 
 13225673+2428034 | J1322+2428  |     |          |             3.503511 |             0.427041 | M4.0     | 2013AJ....145..102L |  8.728 |  8.162 |  7.957 |  12.96 |  12.96 |       | 1988AJ.....96.1710W |          |        | 
 13292131+1126264 | J1329+1126  |     |          |             3.531478 |             0.199679 | M3.5     | 2013AJ....145..102L |  8.368 |   7.82 |  7.535 |  12.11 |  12.11 |       | 1990A&AS...83..357B |          |        | 
 13295979+1022376 | J1329+1022  |     |          |             3.534275 |             0.181118 | M1       | 1994AJ....108.1437H |  5.902 |    5.3 |  5.036 |  9.029 |  9.029 |       | 2010MNRAS.403.1949K |       28 |        | 2015MNRAS.452.2745S
 13303106+1909340 | J1330+1909  |     |          |             3.536551 |             0.334396 | M 4.5    | 1995AJ....110.1838R | 10.065 |  9.543 |  9.221 |  14.71 |  14.71 |       | 1987AJ.....93..451W |          |        | 
 13324460+1648397 | J1332+1648E |     |          |             3.546265 |             0.293406 | M3.0     | 2013AJ....145..102L |  7.643 |  7.067 |  6.828 | 11.401 | 11.401 |       | 2010MNRAS.403.1949K |          |        | 
 13342150+0440026 | J1334+0440  |     |          |             3.553308 |             0.081462 | M0.0     | 2013AJ....145..102L |  7.213 |  6.561 |  6.338 |  9.927 |  9.927 |       | 2010MNRAS.403.1949K |          |        | 
 13391527+1540595 | J1339+1540  |     |          |             3.574678 |             0.273716 |          |                     | 10.333 |  9.815 |  9.574 |  14.09 |  14.09 |       | 1980ApJS...43..457E |          |        | 
 13400898+4346377 | J1340+4346  |     |          |             3.578567 |             0.764058 | M3.5     | 2013AJ....145..102L |  8.544 |  8.017 |  7.745 |  12.76 |  12.76 |       | 1996AJ....112.2300W |          |        | 
 13411167+3001259 | J1341+3001  |     |          |             3.583122 |             0.524017 | M 4.5    | 1995AJ....110.1838R | 11.184 | 10.742 | 10.478 |  15.83 |  15.83 |  0.02 | 2017AJ....154..147D |          |        | 
 13424328+3317255 | J1342+3317  |     |          |             3.589798 |             0.581021 | M4.0     | 2013AJ....145..102L |  7.787 |  7.212 |  6.982 |  11.97 |  11.97 |       | 1996AJ....112.2300W |          |        | 
 13442828+5141086 | J1344+5141  |     |          |             3.597437 |             0.902086 | M2.5     | 2013AJ....145..102L |  8.989 |  8.482 |  8.246 |  12.57 |  12.57 |       | 1996AJ....112.2300W |          |        | 
 13450502+1747105 | J1345+1747  |     |          |             3.600111 |             0.310413 | K7.5     | 2013AJ....145..102L |  6.997 |  6.401 |   6.22 |   9.75 |   9.75 |       | 2010MNRAS.403.1949K |          |        | 
 13454354+1453317 | J1345+1453  |     |          |             3.602923 |             0.259907 | M1.5     | 1994AJ....108.1437H |  5.181 |  4.775 |  4.415 |   8.43 |   8.43 |       | 2010MNRAS.403.1949K |     52.3 |        | 2015MNRAS.452.2745S
 13472878+0618564 | J1347+0618  |     |          |             3.610563 |             0.110229 | K7V      | 2015A&A...577A.128A |  7.764 |  7.187 |  7.015 |  10.02 |  10.02 |       | 1996AJ....112.2300W |          |        | 
 13481341+2336486 | J1348+2336  |     |          |             3.613807 |             0.412134 | M 5.5    | 1995AJ....110.1838R | 10.082 |  9.506 |  9.179 |  15.32 |  15.32 |       | 1987AJ.....93..451W |          |        | 
 13525004+6537197 | J1352+6537  |     |          |             3.633925 |             1.145323 | M1.5     | 2013AJ....145..102L |  8.523 |  7.901 |  7.719 |  11.89 |  11.89 |       | 1996AJ....112.2300W |          |        | 
 13532757+1256345 | J1353+1256  |     |          |             3.636653 |             0.225891 | M0.0     | 2013AJ....145..102L |  6.945 |  6.336 |   6.15 |  9.767 |  9.767 |       | 2010MNRAS.403.1949K |          |        | 
 13534717+7851069 | J1353+7851  |     |          |             3.638077 |             1.376225 | M1.0     | 2013AJ....145..102L |  7.639 |  6.984 |  6.809 | 10.584 | 10.584 | 0.183 | APASS8              |          |        | 
 13570124+0830060 | J1357+0830  |     |          |             3.652193 |             0.148382 |          |                     | 11.996 | 11.472 | 11.139 |   17.7 |   17.7 |  0.03 | 2017AJ....154..147D |          |        | 
 13581392+1234438 | J1358+1234  |     |          |             3.657478 |             0.219542 | M3.5     | 2013AJ....145..102L |  8.269 |  7.687 |  7.439 |  12.26 |  12.26 |       | 1980ApJS...43..457E |          |        | 
 14001100+4448406 | J1400+4448  |     |          |             3.665991 |             0.782104 |          |                     |  7.818 |  7.192 |  7.043 | 10.266 | 10.266 | 0.024 | APASS8              |          |        | 
 14021961+1341229 | J1402+1341  |     |          |             3.675345 |             0.238929 | M1.0     | 2013AJ....145..102L |  7.563 |  6.894 |  6.706 | 10.636 | 10.636 |       | 2010MNRAS.403.1949K |     18.3 |        | 2018A&A...612A..89M
 14081297+8035500 | J1408+8035  |     |          |             3.701043 |             1.406688 | M1.5     | 2013AJ....145..102L |  7.179 |  6.532 |  6.327 |  10.35 |  10.35 |       | 1996AJ....112.2300W |          |        | 
 14082273+7551071 | J1408+7551  |     |          |             3.701747 |             1.323868 | M1.5     | 2013AJ....145..102L |  8.349 |  7.785 |  7.563 |  11.59 |  11.59 |       | 1996AJ....112.2300W |          |        | 
 14151707+4500536 | J1415+4500  |     |          |             3.731877 |             0.785656 | M3.0     | 2013AJ....145..102L |  8.014 |  7.474 |  7.227 |  11.86 |  11.86 |       | 1996AJ....112.2300W |          |        | 
 14153253+0439312 | J1415+0439  |     |          |             3.733008 |              0.08131 | M 5      | 1995AJ....110.1838R |  9.433 |  8.936 |  8.618 |   14.3 |   14.3 |       | 1988AJ.....96.1710W |          |        | 
 14170294+3142472 | J1417+3142  |     |          |             3.739576 |             0.553497 | M4.5     | 1995AJ....109..797K |  8.443 |  7.888 |  7.609 |  13.11 |  13.11 |       | 1996AJ....112.2300W |          |        | 
 14215724+2937468 | J1421+2937  |     |          |             3.760982 |             0.517134 |          |                     |  6.135 |  5.559 |  5.425 |   8.56 |   8.56 |       | 1996AJ....112.2300W |          |        | 
 14245599+0853155 | J1424+0853  |     |          |             3.773982 |             0.155119 | M3.0     | 2013AJ....145..102L |   8.42 |  7.802 |   7.59 | 12.257 | 12.257 |       | 2010MNRAS.403.1949K |          |        | 
 14251160+5149535 | J1425+5149  |     |          |             3.775117 |              0.90463 | M2.5V    | 2015A&A...577A.128A |  7.883 |  7.276 |  7.055 | 11.458 | 11.458 | 0.047 | APASS8              |          |        | 
 14254349+2337010 | J1425+2337W |     |          |             3.777436 |             0.412196 | M0.5     | 2013AJ....145..102L |  6.769 |  6.162 |  5.973 |   9.72 |   9.72 |       | 2010MNRAS.403.1949K |     36.6 |        | 2018A&A...612A..89M
 14254667+2337133 | J1425+2337E |     |          |             3.777667 |             0.412255 | G/K      | 2013AJ....145..102L |  6.889 |  6.302 |  6.091 |  9.973 |  9.973 |       | 2010MNRAS.403.1949K |          |        | 
 14283182+4554326 | J1428+4554  |     |          |             3.789669 |             0.801265 | M 5      | 1995AJ....110.1838R | 11.336 | 10.746 | 10.434 |   17.1 |   17.1 |  0.03 | 2017AJ....154..147D |          |        | 
 14284323+3310391 | J1428+3310  |     |          |             3.790509 |             0.579058 | M9       | 1995AJ....109..797K |  11.99 | 11.225 | 10.744 |  19.64 |  19.64 |  0.05 | 2017AJ....154..147D |          |        | 
 14292971+1531578 | J1429+1531  |     |          |              3.79389 |             0.271094 | M2.0     | 2013AJ....145..102L |  7.229 |  6.605 |  6.393 | 10.676 | 10.676 |       | 2010MNRAS.403.1949K |     43.5 |        | 2018A&A...612A..89M
 14303787+5943249 | J1430+5943  |     |          |             3.798839 |             1.042374 | M6.5     | 2005PASP..117..676R |  10.79 |  10.14 |  9.788 |  17.87 |  17.87 |  0.02 | 2017AJ....154..147D |          |        | 
 14321453+4939058 | J1432+4939  |     |          |             3.805875 |             0.866584 | M 3.5    | 1995AJ....110.1838R |  9.277 |  8.782 |  8.561 |  13.26 |  13.26 |       | 1984ApJS...55..289W |          |        | 
 14333985+0920094 | J1433+0920E |     |          |             3.812079 |             0.162944 | M3.5V    | 2015A&A...577A.128A | 10.233 |  9.666 |  9.414 | 14.228 | 14.228 | 0.023 | APASS8              |          |        | 
 14345780+3344481 | J1434+3344  |     |          |             3.817749 |             0.588991 | K 5      | 1995AJ....110.1838R |  7.107 |  6.467 |  6.347 |   9.58 |   9.58 |       | 1996AJ....112.2300W |          |        | 
 14413301+0627464 | J1441+0627  |     |          |              3.84649 |             0.112799 | M1.5     | 2013AJ....145..102L |  8.843 |  8.166 |  7.946 | 12.025 | 12.025 | 0.065 | APASS8              |          |        | 
 14422164+6603208 | J1442+6603  |     |          |             3.850019 |             1.152891 | M2.0     | 2013AJ....145..102L |  7.306 |  6.733 |  6.491 |  10.83 |  10.83 |       | 1988AJ.....96.1710W |          |        | 
 14422626+1930125 | J1442+1930  |     |          |             3.850361 |             0.340401 | K 5      | 1995AJ....110.1838R |  7.452 |  6.803 |  6.663 | 10.035 | 10.035 | 0.063 | APASS8              |          |        | 
 14462327+1629482 | J1446+1629  |     |          |             3.867597 |             0.287922 | K4       | 1995AJ....110.1838R |  6.821 |  6.217 |  6.062 |  9.204 |  9.204 |       | 2010MNRAS.403.1949K |          |        | 
 14515365+5147107 | J1451+5147E |     |          |             3.891628 |             0.903839 |          |                     | 10.451 |  9.962 |  9.706 | 13.827 | 13.827 |  0.05 | APASS8              |          |        | 
 14533718+1134124 | J1453+1134  |     |          |             3.899152 |             0.201938 | M 4.5    | 1995AJ....110.1838R | 10.577 |  9.974 |  9.652 |  15.29 |  15.29 |  0.01 | 1980AJ.....85..454H |          |        | 
 14535144+2333208 | J1453+2333  |     |          |             3.900191 |             0.411126 | M3.5     | 2013AJ....145..102L |  7.438 |  6.828 |  6.572 | 11.663 | 11.663 |       | 2010MNRAS.403.1949K |          |        | 
 14542790+3532569 | J1454+3532  |     |          |              3.90284 |             0.620451 | M3.5     | 2013AJ....145..102L |  8.243 |  7.707 |   7.47 |  12.35 |  12.35 |       | 1996AJ....112.2300W |          |        | 
 14542923+1606039 | J1454+1606  |     |          |             3.902937 |             0.281016 | M3       | 1991ApJS...77..417K |  6.633 |   5.99 |   5.77 |  10.15 |  10.15 |       | 2010MNRAS.403.1949K |    13.68 |        | 2007AcA....57..149K
 14545347+0956364 | J1454+0956  |     |          |             3.904701 |             0.173546 | M1.0     | 2013AJ....145..102L |  8.217 |  7.618 |  7.388 | 11.251 | 11.251 |       | 2010MNRAS.403.1949K |          |        | 
 14572055+1458545 | J1457+1458  |     |          |             3.915396 |             0.261482 | M 3.5    | 1995AJ....110.1838R | 10.483 |  9.901 |  9.658 |        |        |       | 2002AJ....124.1170D |          |        | 
 14575374+5639242 | J1457+5639  |     |          |             3.917809 |             0.988848 | M 5.5    | 1995AJ....110.1838R | 10.207 |  9.635 |  9.269 |  15.53 |  15.53 |       | 1987AJ.....93..451W |          |        | 
 15032457+0346574 | J1503+0346  |     |          |             3.941869 |             0.066018 | K 7      | 1995AJ....110.1838R |  9.225 |  8.669 |  8.426 |  12.12 |  12.12 |       | 1979ApJS...39...89E |          |        | 
 15041856+6023044 | J1504+6023  |     |          |             3.945789 |              1.05391 | M1.5     | 2013AJ....145..102L |  7.701 |  7.091 |  6.889 |     11 |     11 |       | 1996AJ....112.2300W |          |        | 
 15042225+2928426 | J1504+2928  |     |          |             3.946063 |             0.514496 | M 2.5    | 1995AJ....110.1838R |   9.22 |  8.636 |    8.4 | 12.783 | 12.783 | 0.038 | APASS8              |          |        | 
 15045350+0538169 | J1504+0538  |     |          |             3.948337 |             0.098404 | K 5      | 1995AJ....110.1838R |  7.264 |  6.655 |  6.468 |  9.815 |  9.815 |       | 2010MNRAS.403.1949K |          |        | 
 15070869+2912474 | J1507+2912  |     |          |             3.958166 |             0.509866 |          |                     |  9.468 |  8.835 |  8.616 | 12.525 | 12.525 | 0.035 | APASS8              |          |        | 
 15072362+2456076 | J1507+2456  |     |          |              3.95925 |             0.435207 | M0.0     | 2013AJ....145..102L |  7.296 |  6.647 |  6.474 |  10.05 |  10.05 |       | 1996AJ....112.2300W |          |        | 
 15075723+7613590 | J1507+7613  |     |          |             3.961695 |             1.330518 | M4.5V    | 2015A&A...577A.128A |  9.235 |  8.638 |  8.368 | 13.764 | 13.764 | 0.065 | APASS8              |          |        | 
 15093558+0310007 | J1509+0310  |     |          |              3.96885 |             0.055272 | M3.0     | 2013AJ....145..102L |   7.72 |  7.134 |  6.858 | 11.473 | 11.473 |       | 2010MNRAS.403.1949K |          |        | 
 15115602+1757175 | J1511+1757  |     |          |             3.979057 |             0.313366 | M 3.5    | 1995AJ....110.1838R |  9.556 |  9.064 |  8.768 |  13.49 |  13.49 |       | 1996AJ....112.2300W |          |        | 
 15123818+4543464 | J1512+4543  |     |          |             3.982126 |             0.798133 | M4.0     | 2013AJ....145..102L |  8.977 |  8.392 |  8.108 |  13.35 |  13.35 |       | 1984ApJS...55..289W |    1.686 | A      | 2016ApJ...821...93N
 15153021+1401576 | J1515+1401  |     |          |             3.994639 |             0.244916 |          |                     |  9.454 |  8.797 |  8.622 | 12.594 | 12.594 | 0.045 | APASS8              |          |        | 
 15192115+2912223 | J1519+2912  |     |          |             4.011432 |             0.509744 |          |                     |  7.844 |  7.255 |  7.104 | 10.305 | 10.305 | 0.151 | APASS8              |          |        | 
 15215291+2058394 | J1521+2058  |     |          |              4.02247 |             0.366131 | M1.0     | 2009ApJ...699..649S |   6.61 |   5.96 |  5.756 | 10.003 | 10.003 |       | 2010MNRAS.403.1949K |   3.3829 |        | 2007A&A...467..785N
 15235112+1727569 | J1523+1727  |     |          |             4.031066 |             0.304838 | M 4.5    | 1995AJ....110.1838R |  9.105 |   8.62 |  8.279 |  13.72 |  13.72 |       | 1990A&AS...83..357B |          |        | 
 15273801+1035389 | J1527+1035  |     |          |             4.047566 |             0.184904 | K 5      | 1995AJ....110.1838R |  7.418 |  6.841 |  6.654 |   9.86 |   9.86 |       | 1986AJ.....91..626W |          |        | 
 15294392+4252498 | J1529+4252  |     |          |             4.056726 |             0.748401 | M 4.5    | 1995AJ....110.1838R |  9.587 |  9.016 |  8.719 |  14.21 |  14.21 |       | 1996AJ....112.2300W |          |        | 
 15314678+4703251 | J1531+4703  |     |          |             4.065658 |             0.821297 |          |                     |  7.998 |  7.372 |   7.25 | 10.389 | 10.389 | 0.014 | APASS8              |   79.819 | 1      | 2011AJ....141..166H
 15343054+1416181 | J1534+1416  |     |          |             4.077562 |             0.249088 | M 4      | 1995AJ....110.1838R |  9.642 |   9.06 |  8.809 |  13.82 |  13.82 |       | 1980ApJS...43..457E |          |        | 
 15352039+1743045 | J1535+1743  |     |          |             4.081186 |             0.309236 | M 4.5    | 1995AJ....110.1838R | 10.282 |    9.8 |  9.519 |  14.99 |  14.99 |       | 1996AJ....112.2300W |          |        | 
 15352059+1742470 | J1535+1742  |     |          |               4.0812 |             0.309151 | M3.0     | 2013AJ....145..102L |  8.694 |  8.149 |   7.94 |  12.42 |  12.42 |       | 1996AJ....112.2300W |          |        | 
 15352566+6005077 | J1535+6005E |     |          |             4.081575 |             1.048689 | M4.1     | 2013AJ....145...52M |   9.27 |    8.7 |  8.412 |  13.46 |  13.46 |       | 1988AJ.....96.1710W |          |        | 
 15354610+2209037 | J1535+2209  |     |          |             4.083061 |             0.386609 | M3.5     | 2013AJ....145..102L |  8.681 |  8.108 |   7.92 |  12.73 |  12.73 |       | 1996AJ....112.2300W |          |        | 
 15400352+4329396 | J1540+4329N |     |          |             4.101787 |             0.759118 | M3.5     | 2013AJ....145..102L |  8.312 |  7.777 |  7.563 | 11.962 | 11.962 | 0.016 | APASS8              |          |        | 
 15411642+7559347 | J1541+7559  |     |          |             4.107096 |             1.326325 | M3.5     | 2013AJ....145..102L |   8.26 |  7.716 |  7.442 |   12.2 |   12.2 |       | 1996AJ....112.2300W |          |        | 
 15430390+2615582 | J1543+2616E |     |          |     4.11489761846829 |    0.458430896285445 | M 1.5    | 1995AJ....110.1838R |  9.178 |  8.461 |  8.292 |  12.38 |  12.38 | 0.039 | APASS8              |          |        | 
 15430211+2616361 | J1543+2616W |     |          |             4.114768 |             0.458615 | K 5      | 1995AJ....110.1838R |  8.372 |  7.797 |  7.655 | 10.691 | 10.691 | 0.052 | APASS8              |          |        | 
 15493626+5102573 | J1549+5102  |     |          |             4.143432 |             0.890977 | M2.0     | 2013AJ....145..102L |  8.573 |  8.021 |  7.755 | 12.042 | 12.042 | 0.051 | APASS8              |          |        | 
 15493833+3448555 | J1549+3448  |     |          |             4.143574 |              0.60765 | M4.0     | 2013AJ....145..102L |  8.728 |  8.145 |  7.837 |   13.2 |   13.2 |       | 1988AJ.....96.1710W |          |        | 
 15530635+3445137 | J1553+3445  |     |          |             4.158709 |             0.606569 | M3.0     | 2013AJ....145..102L |  8.001 |  7.338 |  7.092 |  11.76 |  11.76 |       | 1996AJ....112.2300W |          |        | 
 15530664+3444474 | J1553+3444  |     |          |              4.15873 |             0.606442 | M3.0     | 2013AJ....145..102L |  8.994 |  8.422 |  8.177 |  13.17 |  13.17 |       | 1996AJ....112.2300W |          |        | 
 15574962+5916157 | J1557+5916  |     |          |             4.179309 |             1.034474 |          |                     |  7.925 |  7.309 |  7.136 | 10.245 | 10.245 | 0.075 | APASS8              |          |        | 
 15595098+1459498 | J1559+1459  |     |          |             4.188129 |             0.261741 | M 3.5    | 1995AJ....110.1838R | 10.074 |  9.564 |   9.32 |  13.96 |  13.96 |       | 1980ApJS...43..457E |          |        | 
 16014360+3010502 | J1601+3010  |     |          |             4.196321 |             0.526752 | M3.0     | 2013AJ....145..102L |  8.666 |  8.086 |  7.873 | 12.555 | 12.555 | 0.095 | APASS8              |    63.09 | A      | 2016ApJ...821...93N
 16025098+2035218 | J1602+2035  |     |          |             4.201222 |             0.359349 | M4.0     | 2013AJ....145..102L |  8.132 |  7.648 |  7.369 |  12.57 |  12.57 |       | 1990A&AS...83..357B |          |        | 
 16071362+2650173 | J1607+2650  |     |          |             4.220326 |             0.468413 | M 2      | 1995AJ....110.1838R |   9.62 |  9.027 |  8.799 |  13.33 |  13.33 |  0.02 | 1980AJ.....85..454H |          |        | 
 16090309+5256379 | J1609+5256  |     |          |             4.228289 |             0.924045 | M0.5     | 2013AJ....145..102L |  7.185 |  6.525 |  6.331 | 10.166 | 10.166 | 0.035 | APASS8              |     16.3 |        | 2018A&A...612A..89M
 16143285+1906101 | J1614+1906  |     |          |             4.252249 |              0.33341 | M3.5     | 2013AJ....145..102L |   8.99 |  8.478 |  8.262 |   12.9 |   12.9 |  0.01 | 1980AJ.....85..454H |          |        | 
 16145296+6038278 | J1614+6038  |     |          |             4.253729 |             1.058388 | M3.0V    | 2015A&A...577A.128A |  9.818 |  9.295 |  9.023 |  13.71 |  13.71 | 0.048 | APASS8              |          |        | 
 16164280+6714196 | J1616+6714  |     |          |             4.261713 |             1.173539 | M0.0V    | 2015A&A...577A.128A |  5.779 |  5.136 |  4.953 |    8.6 |    8.6 |       | 1996AJ....112.2300W |          |        | 
 16164537+6715224 | J1616+6715  |     |          |               4.2619 |             1.173843 | M3.0     | 2013AJ....145..102L |  6.908 |    6.3 |  6.066 |  10.71 |  10.71 |       | 1996AJ....112.2300W |          |        | 
 16240913+4821112 | J1624+4821  |     |          |             4.294187 |             0.843917 | M2.5     | 1994AJ....108.1437H |  6.638 |  6.141 |  5.915 |  10.28 |  10.28 |       | 1996AJ....112.2300W |          |        | 
 16252459+5418148 | J1625+5418  |     |          |             4.299664 |             0.947785 | M1.5     | 1994AJ....108.1437H |  6.608 |  6.063 |  5.833 | 10.066 | 10.066 | 0.039 | APASS8              |     77.8 |        | 2018A&A...612A..89M
 16275690+0718195 | J1627+0718  |     |          |             4.310738 |             0.127505 |          |                     |  6.551 |  5.969 |  5.796 |  8.805 |  8.805 |       | 1980SAAOC...1..166C |          |        | 
 16311879+4051516 | J1631+4051  |     |          |             4.325419 |             0.713218 | M 5      | 1995AJ....110.1838R |  9.461 |  8.869 |  8.506 |  14.76 |  14.76 |       | 1984ApJS...55..289W | 0.512088 | 0      | 2011AJ....141..166H
 16313507+1733494 | J1631+1733  |     |          |             4.326603 |             0.306542 | M3.5     | 2013AJ....145..102L |  8.926 |  8.431 |  8.178 |  12.82 |  12.82 |       | 1980ApJS...43..457E |          |        | 
 16324524+1236460 | J1632+1236  |     |          |             4.331703 |             0.220134 | M3.0     | 2013AJ....145..102L |  8.429 |  7.902 |  7.675 | 12.158 | 12.158 |       | 2010MNRAS.403.1949K |          |        | 
 16325284+0950259 | J1632+0950  |     |          |             4.332259 |              0.17175 | M3.5     | 2013AJ....145..102L |  8.988 |  8.455 |   8.16 |  13.04 |  13.04 |       | 1984ApJS...55..289W |          |        | 
 16360563+0848491 | J1636+0848  |     |          |             4.346281 |             0.153828 | M 4      | 1995AJ....110.1838R |  9.419 |  8.803 |   8.51 |  13.81 |  13.81 |       | 1988AJ.....96.1710W |    6.331 | B      | 2016ApJ...821...93N
 16393020+5034041 | J1639+5034  |     |          |              4.36116 |             0.882572 | M1.0     | 2013AJ....145..102L |  8.628 |  8.116 |  7.858 | 11.926 | 11.926 | 0.044 | APASS8              |          |        | 
 16400599+0042188 | J1640+0042  |     |          |             4.363759 |             0.012309 | M 4      | 1995AJ....110.1838R |  9.116 |  8.585 |  8.209 |   13.7 |   13.7 |       | 1984ApJS...55..289W |    0.311 | A      | 2016ApJ...821...93N
 16402068+6736046 | J1640+6736  |     |          |             4.364825 |             1.179866 | M 5.5    | 1995AJ....110.1838R |  9.854 |  9.294 |   8.95 |  15.65 |  15.65 |       | 1987AJ.....93..451W |    0.378 | A      | 2016ApJ...821...93N
 16404891+3618596 | J1640+3618  |     |          |             4.366879 |             0.633845 | M2.0     | 2013AJ....145..102L |  8.069 |  7.416 |  7.204 | 11.538 | 11.538 | 0.051 | APASS8              |  15.9604 | 0      | 2011AJ....141..166H
 16461372+1628407 | J1646+1628  |     |          |             4.390502 |             0.287596 | M3.0     | 2013AJ....145..102L |  7.951 |  7.293 |  7.094 | 11.649 | 11.649 |       | 2010MNRAS.403.1949K |          |        | 
 16520010+2351200 | J1652+2351  |     |          |             4.415695 |             0.416354 | K7.5     | 2013AJ....145..102L |  9.001 |  8.327 |  8.164 |  11.68 |  11.68 |       | 1987AJ.....93..451W |          |        | 
 16541202+1154529 | J1654+1154  |     |          |             4.425285 |              0.20795 | M0.0     | 2013AJ....145..102L |  7.886 |  7.318 |  7.106 | 10.742 | 10.742 |       | 2010MNRAS.403.1949K |          |        | 
 16580884+2544392 | J1658+2544  |     |          |             4.442507 |             0.449321 | M1.5     | 2013AJ....145..102L |  6.448 |  5.865 |  5.624 |  9.655 |  9.655 |       | 2010MNRAS.403.1949K |          |        | 
 17032384+5124219 | J1703+5124  |     |          |             4.465415 |              0.89721 | M4.5     | 2013AJ....145..102L |  8.768 |  8.193 |  7.921 |  13.54 |  13.54 |       | 1988AJ.....96.1710W |          |        | 
 17042234+1655552 | J1704+1655  |     |          |             4.469668 |             0.295521 | M3.0     | 2013AJ....145..102L |  8.571 |  8.073 |  7.795 |   12.3 |   12.3 |       | 1996AJ....112.2300W |          |        | 
 17070752+2133144 | J1707+2133  |     |          |             4.481678 |             0.376188 | M3.0     | 2013AJ....145..102L |  7.875 |  7.289 |  7.042 | 11.677 | 11.677 |       | 2010MNRAS.403.1949K |          |        | 
 17074083+0722066 | J1707+0722  |     |          |             4.484103 |             0.128605 | M 5      | 1995AJ....110.1838R |  9.284 |  8.654 |  8.419 |     14 |     14 |       | 1988AJ.....96.1710W |          |        | 
 17093153+4340531 | J1709+4340  |     |          |             4.492154 |             0.762384 | M3.5     | 1994AJ....108.1437H |   7.38 |  6.757 |  6.485 |  11.77 |  11.77 |       | 1984ApJS...55..289W |          |        | 
 17113472+3826341 | J1711+3826  |     |          |             4.501113 |             0.670953 | M3.5     | 2013AJ....145..102L |   7.63 |  7.041 |  6.801 |  11.61 |  11.61 |       | 1987AJ.....93..451W |          |        | 
 17125513+4219546 | J1712+4219  |     |          |             4.506955 |             0.738829 | K 7      | 1995AJ....110.1838R |   7.55 |  6.918 |  6.763 |  10.18 |  10.18 |       | 1996AJ....112.2300W |          |        | 
 17151894+0457496 | J1715+0457  |     |          |             4.517415 |             0.086637 | M 4.5    | 1995AJ....110.1838R |   9.75 |  9.094 |  8.782 |  14.71 |  14.71 |       | 2014AJ....148...91L |      125 |        | 2018A&A...614A..35M
 17160063+1103274 | J1716+1103  |     |          |             4.520449 |             0.192993 | M1.5     | 2013AJ....145..102L |  7.634 |   7.02 |  6.816 | 10.828 | 10.828 |       | 2010MNRAS.403.1949K |     33.6 |        | 2018A&A...612A..89M
 17164097+0803302 | J1716+0803  |     |          |             4.523383 |             0.140646 | M2.5     | 2013AJ....145..102L |  7.933 |  7.389 |  7.106 | 11.529 | 11.529 |       | 2010MNRAS.403.1949K |          |        | 
 17174408+1140117 | J1717+1140  |     |          |             4.527972 |             0.203679 | M 5      | 1995AJ....110.1838R |  9.817 |   9.26 |  8.931 |   15.1 |   15.1 |       | 1984ApJS...55..289W |          |        | 
 17195266+4142510 | J1719+4142  |     |          |             4.537325 |             0.728044 | M2.5     | 2013AJ....145..102L |  7.712 |  7.132 |  6.915 |  11.41 |  11.41 |       | 1996AJ....112.2300W |          |        | 
 17195422+2630030 | J1719+2630E |     |          |             4.537435 |             0.462527 | M3.5     | 1991ApJS...77..417K |  7.273 |   6.71 |  6.422 | 11.378 | 11.378 |     0 | APASS8              |  19.8077 |        | 2007A&A...467..785N
 17204621+4915221 | J1720+4915  |     |          |             4.541223 |             0.859673 | M 4      | 1995AJ....110.1838R | 10.124 |  9.641 |  9.376 |  14.43 |  14.43 |       | 1996AJ....112.2300W |          |        | 
 17274007+1429027 | J1727+1429  |     |          |               4.5713 |             0.252791 | M 3.5    | 1995AJ....110.1838R |  9.693 |  9.218 |  8.958 |   13.7 |   13.7 |  0.01 | 1980AJ.....85..454H |          |        | 
 17302272+0532547 | J1730+0532  |     |          |             4.583142 |              0.09684 | M1.0     | 2013AJ....145..102L |   6.24 |  5.654 |  5.422 |  9.293 |  9.293 |       | 2010MNRAS.403.1949K |          |        | 
 17311725+8205198 | J1731+8205  |     |          |             4.587101 |             1.432722 | M 4      | 1995AJ....110.1838R |  9.572 |   9.02 |   8.73 |  14.13 |  14.13 |       | 1996AJ....112.2300W |    79.22 | A      | 2016ApJ...821...93N
 17320782+5024509 | J1732+5024  |     |          |             4.590785 |             0.879889 | M 2.5    | 1995AJ....110.1838R |  9.008 |  8.426 |  8.173 |  12.75 |  12.75 |       | 1996AJ....112.2300W |          |        | 
 17353445+6140540 | J1735+6140  |     |          |             4.605813 |             1.076546 | M1.0     | 2013AJ....145..102L |  6.884 |  6.271 |  6.066 |   9.97 |   9.97 |       | 1996AJ....112.2300W |     19.2 |        | 1983ApJ...275..752B
 17362594+6820220 | J1736+6820  |     |          |             4.609552 |             1.192743 | M3       | 1994AJ....108.1437H |  5.335 |  4.766 |  4.548 |   9.17 |   9.17 |       | 1996AJ....112.2300W |          |        | 
