     twomass      |  lspmname   | tic |   kic    |        catra         |        catdec        | spectype |     r_spectype      |  jmag  |  hmag  |  kmag  |  vmag  |   v    |  e_v  |       bibcode       |   prot   | g_prot |       r_prot        
 06472751+0524281 | J0647+0524  |     |          |             1.777873 |             0.094384 | M4.0V    | 2015A&A...577A.128A |  9.453 |   8.82 |  8.547 |  13.73 |  13.73 | 0.042 | APASS8              |          |        | 
 06483844+5317294 | J0648+5317  |     |          |             1.783032 |             0.930113 | M1.5     | 2013AJ....145..102L |  8.952 |  8.247 |  8.103 | 12.187 | 12.187 | 0.072 | APASS8              |          |        | 
 06503427+5059518 | J0650+5059  |     |          |             1.791455 |             0.890078 |          |                     | 10.723 | 10.126 |   9.83 | 15.257 | 15.257 | 0.099 | APASS8              |          |        | 
 06513673+2023264 | J0651+2023  |     |          |             1.795996 |             0.355883 |          |                     |   9.34 |  8.794 |  8.541 | 12.958 | 12.958 | 0.062 | APASS8              |          |        | 
 06515901+0312553 | J0651+0312  |     |          |             1.797617 |             0.056119 | M2.5     | 2009ApJ...699..649S |  9.139 |  8.573 |  8.318 | 13.019 | 13.019 | 0.024 | APASS8              |          |        | 
 06521660+6246587 | J0652+6246  |     |          |             1.798896 |             1.095768 | M3.5V    | 2015A&A...577A.128A |  9.416 |  8.852 |  8.575 | 13.496 | 13.496 |  0.06 | APASS8              |          |        | 
 06525878+3138599 | J0652+3139  |     |          |             1.801963 |             0.552397 |          |                     | 10.253 |  9.684 |  9.467 |  13.98 |  13.98 |       | 1984ApJS...55..289W |          |        | 
 06540842+3720474 | J0654+3720  |     |          |             1.807028 |              0.65182 |          |                     | 10.626 | 10.048 |  9.775 | 14.762 | 14.762 | 0.078 | APASS8              |          |        | 
 06543906+4440379 | J0654+4440  |     |          |             1.809257 |             0.779762 |          |                     | 10.025 |  9.444 |  9.171 |  14.16 |  14.16 |       | 1987AJ.....93..451W |          |        | 
 06562187+0550110 | J0656+0550  |     |          |             1.816733 |             0.101864 |          |                     | 10.011 |  9.381 |  9.127 |  13.84 |  13.84 | 0.027 | APASS8              |          |        | 
 07003840+3334581 | J0700+3334  |     |          |             1.835389 |             0.586129 |          |                     |  9.625 |  9.024 |  8.761 | 13.894 | 13.894 | 0.071 | APASS8              |          |        | 
 07051231+0825524 | J0705+0825  |     |          |             1.855308 |             0.147153 | M2.0     | 2013AJ....145..102L |  8.829 |  8.292 |  7.984 | 12.241 | 12.241 | 0.021 | APASS8              |          |        | 
 07061240+0627399 | J0706+0627  |     |          |             1.859678 |             0.112767 |          |                     | 10.608 |  9.987 |  9.719 | 14.946 | 14.946 | 0.033 | APASS8              |          |        | 
 07064049+2625001 | J0706+2624  |     |          |              1.86172 |             0.461057 |          |                     | 10.847 | 10.231 |  9.948 | 15.674 | 15.674 |     0 | APASS8              |    3.484 | A      | 2016ApJ...821...93N
